"source","target","total_reviews.x","rating_sum.x","mean_rating.x","total_reviews.y","rating_sum.y","mean_rating.y","n","mean_rating"
"AG3jFaQcABSFF-ry3l5t5g","s5-VDvUqyYnD8RG3LPqnbQ",4,11,2.75,539,2057,3.81632653061224,543,3.80847145488029
"AG3jFaQcABSFF-ry3l5t5g","glmwOs55H49Q_D8ENZtqYQ",4,11,2.75,88,272,3.09090909090909,92,3.07608695652174
"AG3jFaQcABSFF-ry3l5t5g","BqrTtox0JbG-P_DKBB5bBw",4,11,2.75,453,1734,3.82781456953642,457,3.81838074398249
"AG3jFaQcABSFF-ry3l5t5g","3fV9sL5LklD9ZSeONKmjkw",4,11,2.75,159,519,3.26415094339623,163,3.25153374233129
"AG3jFaQcABSFF-ry3l5t5g","MnoF8A3UAghzXKSunNSn2Q",4,11,2.75,9,23,2.55555555555556,13,2.61538461538462
"Zlv0RZR5cFS5NzeXteuUjg","Gvw2ewUbqq7PWkxKwjqifA",3,11,3.66666666666667,125,512,4.096,128,4.0859375
"Zlv0RZR5cFS5NzeXteuUjg","QbmcCE_cLq4WO8ZMKImaLw",3,11,3.66666666666667,666,2567,3.85435435435435,669,3.85351270553064
"Zlv0RZR5cFS5NzeXteuUjg","V9euJerhCkh7PXKjtsE2rQ",3,11,3.66666666666667,74,297,4.01351351351351,77,4
"Zlv0RZR5cFS5NzeXteuUjg","2e2e7WgqU1BnpxmQL5jbfw",3,11,3.66666666666667,629,2537,4.03338632750397,632,4.03164556962025
"Zlv0RZR5cFS5NzeXteuUjg","Pz7SWZQhxL6ZbhL9jE2NTA",3,11,3.66666666666667,131,521,3.97709923664122,134,3.97014925373134
"Zlv0RZR5cFS5NzeXteuUjg","4bEjOyTaDG24SY5TxsaUNQ",3,11,3.66666666666667,1099,4541,4.1319381255687,1102,4.13067150635209
"AdEFp9zXwOO84mc1OC37aA","moX-9x1Z76IlcAM3bAu4bg",15,71,4.73333333333333,62,194,3.12903225806452,77,3.44155844155844
"AdEFp9zXwOO84mc1OC37aA","cny9rhnhcYsJuTq2q4wp2A",15,71,4.73333333333333,69,250,3.6231884057971,84,3.82142857142857
"AdEFp9zXwOO84mc1OC37aA","s5-VDvUqyYnD8RG3LPqnbQ",15,71,4.73333333333333,539,2057,3.81632653061224,554,3.84115523465704
"AdEFp9zXwOO84mc1OC37aA","ateowLnq6kpgNNWHzCDByQ",15,71,4.73333333333333,593,2244,3.78414839797639,608,3.80756578947368
"AdEFp9zXwOO84mc1OC37aA","UjAj7SjUQg8znkwk_gaDJw",15,71,4.73333333333333,247,872,3.53036437246964,262,3.59923664122137
"AdEFp9zXwOO84mc1OC37aA","j5QZe4uDRI8OO5v0tFBkFA",15,71,4.73333333333333,52,201,3.86538461538462,67,4.05970149253731
"AdEFp9zXwOO84mc1OC37aA","ghnQrKVEjiWZ3UE1XDzJUQ",15,71,4.73333333333333,154,557,3.61688311688312,169,3.71597633136095
"AdEFp9zXwOO84mc1OC37aA","72ngj2ky908bsW9Ae40R0A",15,71,4.73333333333333,75,309,4.12,90,4.22222222222222
"AdEFp9zXwOO84mc1OC37aA","hsM6PF4Of6RMNcQV_c-FVQ",15,71,4.73333333333333,204,779,3.81862745098039,219,3.88127853881279
"AdEFp9zXwOO84mc1OC37aA","sIyHTizqAiGu12XMLX3N3g",15,71,4.73333333333333,1242,4720,3.80032206119163,1257,3.81145584725537
"AdEFp9zXwOO84mc1OC37aA","_6gbnNRPIc-iM_0cBLPX1A",15,71,4.73333333333333,133,501,3.76691729323308,148,3.86486486486486
"AdEFp9zXwOO84mc1OC37aA","NxsCqQCpofRx08m535JYIA",15,71,4.73333333333333,74,267,3.60810810810811,89,3.79775280898876
