"source","target","total_reviews.x","rating_sum.x","mean_rating.x","total_reviews.y","rating_sum.y","mean_rating.y","n","mean_rating"
"AG3jFaQcABSFF-ry3l5t5g","glmwOs55H49Q_D8ENZtqYQ",3,7,2.33333333333333,4,12,3,7,2.71428571428571
"AG3jFaQcABSFF-ry3l5t5g","MnoF8A3UAghzXKSunNSn2Q",3,7,2.33333333333333,2,4,2,5,2.2
"AdEFp9zXwOO84mc1OC37aA","moX-9x1Z76IlcAM3bAu4bg",10,47,4.7,4,14,3.5,14,4.35714285714286
"AdEFp9zXwOO84mc1OC37aA","cny9rhnhcYsJuTq2q4wp2A",10,47,4.7,6,20,3.33333333333333,16,4.1875
"AdEFp9zXwOO84mc1OC37aA","-5RN56jH78MV2oquLV_G8g",10,47,4.7,4,18,4.5,14,4.64285714285714
"QhwkFogGQA-Ar176Ul5PUQ","s5-VDvUqyYnD8RG3LPqnbQ",49,195,3.97959183673469,26,95,3.65384615384615,75,3.86666666666667
"QhwkFogGQA-Ar176Ul5PUQ","Iyy4pDmnKTZkAorzclO4Eg",49,195,3.97959183673469,6,29,4.83333333333333,55,4.07272727272727
"QhwkFogGQA-Ar176Ul5PUQ","sIyHTizqAiGu12XMLX3N3g",49,195,3.97959183673469,42,153,3.64285714285714,91,3.82417582417582
"QhwkFogGQA-Ar176Ul5PUQ","eq6lQI039SBLC6sHm3idGA",49,195,3.97959183673469,18,81,4.5,67,4.11940298507463
"QhwkFogGQA-Ar176Ul5PUQ","zt1TpTuJ6y9n551sw9TaEg",49,195,3.97959183673469,22,67,3.04545454545455,71,3.69014084507042
"QhwkFogGQA-Ar176Ul5PUQ","Ieuv-XET6SR_qIscZzgD-A",49,195,3.97959183673469,3,13,4.33333333333333,52,4
"QhwkFogGQA-Ar176Ul5PUQ","n8aEflHJYlK_c7yy8xkwpQ",49,195,3.97959183673469,3,13,4.33333333333333,52,4
"QhwkFogGQA-Ar176Ul5PUQ","2e2e7WgqU1BnpxmQL5jbfw",49,195,3.97959183673469,21,83,3.95238095238095,70,3.97142857142857
"QhwkFogGQA-Ar176Ul5PUQ","05tazaFQt1EnQ_Gk_1AFyg",49,195,3.97959183673469,5,22,4.4,54,4.01851851851852
"QhwkFogGQA-Ar176Ul5PUQ","a1t31qMLd5fQocEjbSJ61A",49,195,3.97959183673469,2,3,1.5,51,3.88235294117647
"QhwkFogGQA-Ar176Ul5PUQ","tcphcsPONrP82kUyvcELoA",49,195,3.97959183673469,6,21,3.5,55,3.92727272727273
"QhwkFogGQA-Ar176Ul5PUQ","szw8OGJlsqaA3i2oe7dn9A",49,195,3.97959183673469,5,16,3.2,54,3.90740740740741
"QhwkFogGQA-Ar176Ul5PUQ","-5RN56jH78MV2oquLV_G8g",49,195,3.97959183673469,4,18,4.5,53,4.0188679245283
"QhwkFogGQA-Ar176Ul5PUQ","CZjcFdvJhksq9dy58NVEzw",49,195,3.97959183673469,6,19,3.16666666666667,55,3.89090909090909
"QhwkFogGQA-Ar176Ul5PUQ","6qXQQOWdUZiJmWVqkWB-3w",49,195,3.97959183673469,5,14,2.8,54,3.87037037037037
"QhwkFogGQA-Ar176Ul5PUQ","DO3Gk17RyJVW7zYMCtYPnw",49,195,3.97959183673469,10,37,3.7,59,3.93220338983051
"QhwkFogGQA-Ar176Ul5PUQ","xyTJYlbE_MLouK6rCou6zg",49,195,3.97959183673469,6,20,3.33333333333333,55,3.90909090909091
"FvDa81O48IZx_LhjSiv_bQ","cny9rhnhcYsJuTq2q4wp2A",4,18,4.5,6,20,3.33333333333333,10,3.8
"FvDa81O48IZx_LhjSiv_bQ","bdsKG7MQIMmZ73lgOaTZ0A",4,18,4.5,5,7,1.4,9,2.77777777777778
"FvDa81O48IZx_LhjSiv_bQ","uYKwS-biARKgBkk5rY_PaQ",4,18,4.5,5,24,4.8,9,4.66666666666667
"2E3OHy9UBnj3hoVw9RKx-Q","kAXwEMkpcKMObw45QJGqnw",3,13,4.33333333333333,4,17,4.25,7,4.28571428571429
"FudNA-KYx-QKaeyghJoPAg","BqrTtox0JbG-P_DKBB5bBw",4,8,2,18,69,3.83333333333333,22,3.5
"FqhEd4vV6Hg-0J49hBShUQ","3fV9sL5LklD9ZSeONKmjkw",4,15,3.75,8,21,2.625,12,3
"FqhEd4vV6Hg-0J49hBShUQ","J4qLz0nGzCTMf6-kf_SiQg",4,15,3.75,4,10,2.5,8,3.125
"vlKGOytpJnYGW-bnILhg6Q","bmNPNlCLDplWB55ic3Bixg",4,17,4.25,6,24,4,10,4.1
