"user_id","business_id","stars"
"CiCmxCruMvbXtjQP5FhbLg","wqu7ILomIOPSduRwoWp4AQ",4
"bbYn77XD_aAeFL-lwV7GBA","wqu7ILomIOPSduRwoWp4AQ",5
"UxfFAw2-cTpeWvRROF1HEw","wqu7ILomIOPSduRwoWp4AQ",5
"3eystYBQINAG1tlRBk215A","wqu7ILomIOPSduRwoWp4AQ",5
"vQPRddwB2m9se3GDM05eGw","_jsJFrAmFVPRio0eEVExbA",1
"LCR1EhLuhuAtWp73NHvHcQ","_jsJFrAmFVPRio0eEVExbA",1
"N_cH3QA_eXXmnzz-nzEeKA","udZJ8YgsHdqtFDQkyPTV1Q",3
"tn0EqWiKmv_wogIQvarX4A","ZL6DNzyenFm9Kpz6uADlNg",2
"8suFoI1DF1Qr_pAGb0CiMQ","ZL6DNzyenFm9Kpz6uADlNg",3
"-la6YVHqiwf2fR8o617mBQ","ZL6DNzyenFm9Kpz6uADlNg",4
"N2mzZ2hacFcbj6lscgvzoA","ZL6DNzyenFm9Kpz6uADlNg",2
"Eko28Eq0OTggPwRpQxT3Xg","ZL6DNzyenFm9Kpz6uADlNg",5
"j0qDSIc8Fh6-5qIP0zOsFQ","ZL6DNzyenFm9Kpz6uADlNg",2
"xvrZ-uWdV4N-yw90TZsOgg","ZL6DNzyenFm9Kpz6uADlNg",2
"_gA5BmEB4PRR2QsZFSOdpw","ZL6DNzyenFm9Kpz6uADlNg",5
"M7G1FGy8j6mPgM7ClgZ-9A","ZL6DNzyenFm9Kpz6uADlNg",3
"XAsr0AwCkTV-jJhZJ6Gfeg","ZL6DNzyenFm9Kpz6uADlNg",1
"18I1gZMUK0CyLXPDINdw8w","ZL6DNzyenFm9Kpz6uADlNg",5
"BbM64jzOeDBVJWeGNJrF_g","ZL6DNzyenFm9Kpz6uADlNg",1
"Q8gK7w_S5aJDFsIps4E1OA","ZL6DNzyenFm9Kpz6uADlNg",1
"6rR83Un71x8KWnW9-oJfqA","ZL6DNzyenFm9Kpz6uADlNg",1
"Mmj57OagOqroLiNkzugJMw","ZL6DNzyenFm9Kpz6uADlNg",1
